"b100166982","595 B 87","Bulletin of the Brooklyn Entomological Society.","ocm01537447","sn 90000420  14006059",,"1051-8932"
"b100167111","352.5 M872 MI","Bulletins of the Brooklyn Municipal Club.","ocm35190104",,,
"b100170195","974.723 I","Borough Park :","ocm41335816","98070951","1878741365 :",
"b100170481","071 B87 BP","Brooklyn Press Club, 1912-1922 :","ocm34196621",,,
"b100171679","320.85 B","Brooklyn Public Library government directory :","ocm48087620",,,
"b100172210","287.7 B","Building, past, present, future :","ocm24676461",,,
"b100172350","309.262 B","Brooklyn's progress.","896805731","sn 92001773",,"1065-6502"
"b100172933","388 B871","Brooklyn Queens Connecting Highway /","ocm32407635",,,
"b10017310x","917.472 B87 Cc","Brooklyn register and buyer's guide.","871068598","44037394",,
"b100173779","261.8 P 967 B","Bay Ridge, Bensonhurst, Borough Park, Sunset Park :","ocm20255208",,,
"b100174206","810.8 B","The Brooklyn reader :","ocm32324558",,"0517883791",
"b100174218","810.8 B","The Brooklyn reader :","941076918","93014527","0517591340 :",
"b100174486","974.723 B","Brooklyn rediscovery :","ocm31905155",,,
"b100175338","720.5 B84","The brickbuilder.","907416780","sc 80000072",,"0197-3878"
"b100176173","974.723 B","Brooklyn :","ocm44550508","00043528","0761122036";"0761116354 (pbk.) :",
"b100176197","381 B87","Brooklyn.","907500222","44010156",,
"b100176835","330.97471 B","Brooklyn's relationship to the City of New York /","ocm33345290",,,
"b100177542","917.4723 B","Brooklyn shops and services /","871155454",,,
"b100178790","B SHABAZZ B","Betty Shabazz :","ocm39195245","98007691","0684852942 :",
"b100179885","309.26 N532 P","Brooklyn street name index.","ocm20682438",,,
"b100180292","277.4723 B","A brief summary of the fifty years in the priesthood of The Right Reverend Monsignor David J. Hickey, LL.D. :","ocm32147640",,,
"b100182653","974.723 B","Brooklyn, the beautiful borough, 1894-1954 :","ocm32647060",,,
"b100183256","917.4723 B8722","Brooklyn telephone directory, 1959.","871155555",,,
"b100183396","379.7472 B872","The Brooklyn teacher :","907541432",,,
"b100185447","917.4723 B","Brooklyn today :","ocm31299477",,,
"b100186543","B B414 BT","The Beecher-Tilton scandal :","931141268",,,
"b100186920","B BEECHER","[The Beecher-Tilton scandal scrapbooks].","ocm44477298",,,
"b100187304","388.132 B","Bridge to the future :","841338280","84011444","0897662474 (pbk.) :";"0897662466 (hard)",
"b100187663","305.8924 B","Between two worlds :","ocm17953047","88047735","0801420849 (alk. paper)";"0801494087 (pbk. : alk. paper)",
"b100188989","974.723 B","Brooklyn USA :","791357861","78062275","0930888022",
"b100191010","940.5 B872","The Brooklyn war memorial ;","907394530","46003329",,
"b100191782","917.472 B","Blue water views of old New York including Long Island and the Jersey Shore ;","791343432","69018952","0871551152",
"b100191848","628.144 B","Brooklyn water works :","ocm11512895",,,
"b100194229","607 C","Catalogue and announcement of the Polytechnic Institute of Brooklyn.","ocm36926962",,,
"b100194618","627.3 C953","[Croton Aqueduct & Brooklyn Dry Dock].","ocm19023610",,,
"b100200151","317 B817","The Citizen almanac.","907518306",,,
"b100200217","706 C","Constitution and list of members of the Rembrandt Club :","ocm31522521",,,
"b100203978","810.8 B872","Cargoes.","ocm35816238",,,
"b100211628","333.332 C","COMPS Brooklyn, New York :","ocm43078988",,,
"b100216043","974.723 581","Citizens' committees, Brooklyn day, Atlanta Exposition, eithteen ninety five.","871335622",,,
"b100217394","352 B87 B","A civic centre.","ocm32188756",,,
"b100218854","352.96 C","CIDS : Coney Island development study /","ocm02978012",,,
"b100220393","367.062 C281","The Carleton Club of Brooklyn.","907542698",,,
"b100226929","974.723 C","The Christian Duryea House, Brooklyn New York :","ocm31870570",,,
"b100229098","060.58 C","Community directory of organizations.","ocm39899072",,,
"b100229657","307.1416 C","Community development program, progress report /","907422391","sn 86032327",,
"b100246941","309.262 N56 CC","Crown Heights area maintenance program /","ocm10988783",,,
"b100251316","624 G798","A complete history of the New York and Brooklyn Bridge :","823188049","06043809",,
"b100251638","362.1097 C","Community health profiles of New York City /","ocm31684782",,,
"b10025777x","791.068 C","Coney Island of the mind :","891153911",,,
"b100266150","305.868 C","Caribbean life in New York City :","871522388","85047915","0913256889 :";"0913256927 (pbk.) :",
"b10027092x","917.471 C64","Club men of New York :","907373891",,,
"b100271443","B SKINNER B","Charles M. Skinner :","896658764",,,
"b100274808","974.7 C","City of Brooklyn /","ocm43345637",,,
"b100276271","282.74723 C","Commemorative of dedication of St. Joseph's Church, Brooklyn, N.Y. :","ocm38156200",,,
"b100280043","334 C77","The co-operative news and building association record :","ocm43047749",,,
"b100280316","810.5 C","Confrontation.","907417516","sf 79010635",,"0010-5716"
"b100281138","917.471 C92 C","The Cries of New-York /","907394491",,,
"b100281795","346 C","Cooperative offering plan :","906329140",,,
"b100283731","720 B87","Catalog of the ... annual exhibition of the Department of Architecture of the Brooklyn Institute of Arts and Sciences.","ocm35451934",,,
"b100284164","718 C99","The Cemetery of the Cypress Hills.","ocm35549601",,,
"b100284255","287 C557","Chronicles of the Central M.E. Church of Brooklyn, E.D.","906635517",,,
"b100284267","352 B87 C3","Charter of the City of Brooklyn, passed April 17, to take effect January 1 1855.","ocm32882118",,,
"b100284279","352 B 87 C","Charter of the City of Brooklyn, being Chapter 583 of the Laws of 1888, entitled, an act to revise and combine in a single act all existing special and local laws effecting public interests in City of Brooklyn :","ocm32191819",,,
"b100284280","352 B87 Ch","Charter of the City of Brooklyn, passed June 28, 1873, with the Charter of April 17, 1854, and the acts amendatory of and supplementary thereto, and other general laws relating to said city :","ocm32185594",,,
"b100284292","352 B87 Ca","Charter of the City of Brooklyn, passed June 28, 1873. As subsequently amended, with the charter of April 17, 1854, and the amendments tereto, and other laws relating to said city :","ocm32177035",,,
"b100284309","352 B87 C4","Charter of the City of Brooklyn, passed April 17, 1854, and, the Charter of the City of Wlliamsburgh, passed April 7, 1851, with the amendments.","ocm32173531",,,
"b100284310","352 B87 Ch4","The charter of the city of Brooklyn and the special laws relating thereto, together with the ordinances for the government of the city /","ocm32170877",,,
"b100285296","018 C","Catalogue of the Mercantile Library of the city of Brooklyn.","ocm20321396",,,
"b100285879","974.72 C39","Celebration of the re-setting of the New Utrecht liberty pole on the lawn of the New Utrecht Reformed Church :","871278757",,,
"b100286306","267 B","Constitution of the Union for Christian Work.","ocm34256803",,,
"b100294406","374.7471 C","A Centennial resource collection--Boys and Girls High School.","851004932",,,
"b100298059","352.96 C","Coalition redevelopment program /","ocm39899085",,,
"b100301058","377 R 75 S","Catholic schools, Diocese of Brooklyn.","ocm32647547",,,
"b100301435","027.4747 C","Community service :","800013675","77137361","0838931170",
"b100301502","352.7 N56C","Construction schedule for arterial highways and parkways :","ocm32410444",,,
"b100303791","792.09747 C719","Col. Sinn's Montauk Theater ;","896847602",,,
"b100307905","380.1025 C","Crossing the bridge :","ocm43452933",,,
"b100307917","380.1025 B","Crossing the bridge ;","ocm36166013",,,
"b100313723","378.7471 G652 C","A Commitment to youth ;","770118783","60015422",,
"b10031806x","B H588 B","Col. William Hester, 1835-1921 :","906616707",,,
"b100322530","912 H994","Desk atlas, borough of Brooklyn, city of New York.","823679610",,,
"b10032406x","719 D","Draft: a general management plan for Gateway National Recreation Area.","790146623",,,
"b100325464","912 H994 A","Desk atlas of the borough of Brooklyn, City of New York.","907389642",,,
"b10032566x","025.84 D","Deterioration and preservation of library materials ;","710567718","78115971",,
"b100327667","388.4 D","Downtown Brooklyn bus and traffic study /","ocm11350167",,,
"b100327965","973.79 D79","The Drum beat.","907171956","07012701",,
"b100329354","261.8 P967 D","Downtown Brooklyn /","ocm20255161",,,
"b100329470","388.41312 D","Downtown Brooklyn Traffic Calming Project :","ocm45832423",,,
"b100329482","388.324 D","Downtown Brooklyn trucking distribution system study :","ocm32862254",,,
"b100332195","362 B87 O","Double diamond anniversary, Brookwood Child Care ; founded 1833 as the Orphan Asylum Society of the City of Brooklyn.","841462536",,,
"b100336723","333.714 D","Draft environmental impact statement, Brooklyn, New York City, Metropolitan Detention Center /","906773595",,,
"b100338185","974.7275 D","Devastation/resurrection :","ocm21640024","79054730",,
"b100338513","B OTHMER D","Donald Frederick and Mildred Topp Othmer :","ocm41674274","99036436","094190122X (alk. paper)",
"b100342218","974.7 N56 D","The documentary history of the State of New-York /","740176955",,,
"b100349912","796.3506 D","Dyker Meadow Golf Club :","ocm35811528",,,
"b100352960","700.97472 D","Directory of Brooklyn arts organizations /","ocm48470424",,,
"b100354294","361.058 P","Directory of community services in Coney Island.","ocm32472972",,,
"b100356916","305.851 D","A Directory of Italian American associations in the tri-state area :","891393159",,"0934733449 (pbk.) :",
"b100361985","296.6 D598 A","Directory of supplementary schools in Greater New York.","841265879",,,
"b100362357","352 K55 S","Documents of the Board of Supervisors of Kings County.","ocm34161763",,,
"b100362539","917.471 D","A description of the cities, townships, and principal villages and settlements :","911139500",,,
"b100362680","283.03 C956","A Dictionary of the Episcopal Church.","907490318","55015394",,
"b100363301","373.7471 D","Directory of the public high schools :","907853483",,,
"b100364494","396 D 59","Directory of women in civic, economic, and educational affairs in Brooklyn today, 1939 :","931191491",,,
"b100365231","285.1 B497 S","Duryea Presbyterian Church 75th Anniversary book :","ocm32138363",,,
"b100365450","283 B87 N","Directory, protestant Episcopal Church of the Nativity :","ocm32146991",,,
"b100366594","304.6021 D","Demographic profiles :","923322298",,,
"b100367665","929.5747 D","[Dutch Reformed cemetery inscriptions].","ocm37612529",,,
"b100367744","796.3576 D","The Dodgers reader /","921326662","91042403","0395587786 (pbk.) :",
"b10036875x","361.97471 N532 MD","District resource statement, fiscal and service reports for fiscal years...","ocm27660764",,,
"b100368840","974.7 N56 Do","Documents relative to the colonial history of the state of New York.","881091474","01022114",,
"b100369595","352 D58","The Dime Savings Bank of Williamsburgh Fiftieth anniversay, 1864-1914 :","ocm32257092",,,
"b100372338","974.723 D","Down town Brooklyn :","ocm30058458",,,
"b100374621","071 B","Dinner to William Hester : /","ocm34502565",,,
"b100378304","712.6 D","Decorate your yard /","ocm43327245",,,
"b100379217","071 B","The Eagle as an advertising medium.","ocm34234662",,,
"b100379928","974.723 H849 E","The Eagle and Brooklyn :","ocm04614818","01014839",,
"b10038626x","708 B872 De","The Eighth biennial exhibition of water colors, pastels and drawings by American and foreign arts :","896315275",,,
"b100388462","974.7 E","The Evergreens Cemetery, Brooklyn, N. Y.","ocm45827608",,,
"b100391576","069.5 E","Exhibiting cultures :","ocm22243403","90010188","1560980206 (cloth)";"1560980214 (paper)",
"b100392015","929.2 E","Early days :","ocm45355388",,,
"b100398042","796.357 K","Ebbets field :","ocm34678077",,,
"b100404765","796.357 E","Early innings :","ocm30914420","94030847","0803292449 (pbk.) :";"0803242379 (cl : alk. paper)",
"b100408096","051 E 113","[Miscellaneous articles] : The Eagle library.","ocm34495667",,,
"b100419719","974.71 E","The encyclopedia of New York City /","ocm32395903","95002811","0300055366 (hc : alk. paper) :",
"b100422214","825.082 H431 E","The eloquence of the British Senate, being a selection of the best speeches of the most distinguished English, Irish, and Scotch parliamentary speakers from the beginning of the reign of Charles I to the present time, with notes, biographical, critical, and explanatory /","831553068","78322630",,
"b100425914","974.723 E","Excursion planned for the City History Club of New York.","ocm22045261",,,
"b100427996","071.74723 B","Eagle Quills.","ocm34327217",,,
"b100428526","071 B","Eagle rate cards and rules.","ocm34258926",,,
"b100446309","285 F","Fiftieth anniversary of the installation of Richard Salter Storrs as pastor of the Church of the Pilgrims :","ocm10870220",,,
"b100455888","974.723 F","Forsythia Day :","ocm33988056","84072823",,
"b100459249","333.714 F","Final environmental impact statement, Brooklyn, New York City, Metropolitan Detention Center /","911060464",,,
"b100464907","363.5 F","[Fort Greene/Clinton Hill study] /","ocm44119697",,,
"b100467404","712.5 F","The First historic landscape report for the Ravine, Prospect Park, Brooklyn, New York /","881377317","86060098",,
"b100471390","974.723 H","Flatbush in the American Revolution /","833976511",,,
"b100473520","386.6 N562 F","Ferry leases.","ocm34326315",,,
"b100473726","973.77 F73",""Fort-La-Fayette life." :","906892535",,,
"b100474755","614.8 N562 S2","The fire limits of the City of Brooklyn, W. D.","ocm34351519",,,
"b100476041","307.76 F","Fulton Mall business directory :","841132664",,,
"b100478281","917.471 F81","Francis's new guide to the cities of New-York and Brooklyn, and the vicinity.","834076641","17010091",,
"b100481644","333.917 F","The future of Jamaica Bay.","ocm16654669",,,
"b100491443","331 F","Final report on the Brooklyn Unemployment Emergency Committee /","ocm35779088",,,
"b100492733","641.5 F","First Street cook book.","891494139",,,
"b100497391","974.723 F","Fox theatre, Brooklyn, New York :","ocm10363261",,,
"b100499399","712.509747 F","For the love of a garden :","ocm38265094",,,
"b100509666","286.1747 G","The golden anniversary of the Marcy Avenue Baptist Church, 1873-1923.","ocm38452249",,,
"b100513463","352.0747 G","The Green book :","ocm10867448","86658050  sn 85062529  85646047",,
"b100514029","B B 414 G","The Great Brooklyn romance :","ocm11572397","41035247",,
"b100517985","647.95747 G","Great dining in Brooklyn.","ocm22651505",,,
"b100518734","355.7 G","General description of the New York Port of Embarkation /","ocm45367729",,,
"b100521204","624.55 G","The Great East River Bridge, 1883-1983.","831374676","83002593","0810909820 (Abrams) :";"0872730964 (pbk.) :",
"b100522634","974.74723 G","Greetings from Greenpoint, Brooklyn, New York :","ocm48086141",,,
"b100528466","352.7 T822 G","Gowanus improvement.","ocm04374598","45051838",,
"b10052977x","282.747 G","Golden jubilee, St. Stanislaus Kostka Parish, 1896-1946.","841237084",,,
"b100534909","974.71 G","The Greater New York centennial :","ocm41164739",,"0965233138",
"b100534934","917.471 G","Gaslight New York revisited /","ocm21517205",,"1555215394",
"b100538964","307.3416 G","Greenpoint/Williamsburg Phase 1 :","ocm43644029",,,
"b100547242","974.72 B87 BA","A Guide to Brooklyn archives /","841458715",,,
"b100549068","016.9747 G","Guide to historical resources in Kings County (Brooklyn) New York repositories.","871482546",,,
"b100549081","016.97471 G","Guide to historical resources in New York County (Manhattan) New York repositories.","891063566",,,
"b100552006","016.61 G","Guide to the Archives, State University of New York Health Science Center at Brooklyn, Medical Research Library of Brooklyn.","ocm35754966",,,
"b100552122","016.301 G","Guide to the Culin Archival Collection /","ocm35518152",,,
"b100552481","352.07471 G","Guide to the municipal government of the city of New York /","ocm02051477","60009986",,
"b100552754","624.0973 G","Guide to the Roebling collections at Rensselaer Polytecnic Institute and Rutgers University /","831788750","83080056",,
"b100553680","362.7 L78 G","Growing up in Brooklyn :","ocm26861196",,,
"b10055474x","352.74 G","Griffin [sic] vs. The City of Brooklyn :","ocm43345496",,,
"b100555366","917.4723 G816 G","Green-wood illustrated, 1891.","871235620",,,
"b100557491","974.72 B87 EH","Historic and beautiful Brooklyn.","871268489",,,
"b100557867","338.09747 H673","History and commerce of  Brooklyn.","896812421",,,
"b100560192","017.4723 B","How a modern newspaper is made :","ocm22187050",,,
"b100561883","974.72 H75","The Holocaust at the Brooklyn theatre, with interment and memorial services, and official list of the dead and the missing ...","871285346",,,
"b100565256","917.4721 L849 L","Hand-book of Long Island :","ocm21967336",,,
"b100568713","367.062 H247","Hanover Club of Brooklyn.","907593215",,,
"b10056902x","296.09747 H","The Hasidic community of Williamsburg, Brooklyn /","ocm07980524",,,
"b100570434","745.5941 H","Halloween decorating.","ocm38890737","98004402","0865734143 (hardcover)";"0865734151 (softcover) :",
"b100575675","974.723 G798 H","Historic Flatbush :","871309615",,,
"b100579334","974.71 H","Historic houses in New York City parks /","ocm26113186",,,
"b100589479","071 B87 H","History of Brooklyn Daily Eagle.","896864038",,,
"b10059492x","296.67 H","The history of Mirrer Yeshiva in America /","780216923","77093585",,
"b100597944","973.7447 H","History of the 13th regiment, N.G., S.N.Y. :","ocm06540866","15009974",,
"b100597993","385 H","History of the Atlantic Avenue Improvement and report of progress in 1906.","ocm12771204",,,
"b100598146","606 B87H","History of the Brooklyn and Long Island fair, February 22, 1864 /","906744203",,,
"b100598791","287 M47","History of the Hanson Place Methodist Episcopal Church and Sunday school :","907577970",,,
"b100599813","286 B87","History of the young people's Baptist Union of Brooklyn, 1877-1889.","906596068",,,
"b100600785","261.8 P967 HP","Housing projects and protestant churches /","ocm20138647",,,
"b100606313","361.3068 H","Human service needs of North Flatbush /","ocm11772854",,,
"b100617311","B B414 HE","Henry Ward Beecher as his friends saw him.","834382222","04027371",,
"b100621478","973.075 I","Ideas and images :","ocm36207544","97000542","0761989323 :",
"b100622409","280 I29","Illustrated annual New York & Brooklyn churches.","ocm32152437",,,
"b100623220","069.0681 I","Insurance and risk management for museums and historical societies.","ocm12263237","85015935","093448306X (pbk.) :",
"b100624650","338.09747 I42","Industries and wealth of Brooklyn.","941157807",,,
"b100629684","304.873 I","Immigrant Caribbean study /","881255042",,,
"b100644685","917.472 I29","Illustrated Long Island.","871094151",,,
"b100646566","B P622","In memoriam. Henry Evelyn Pierrepont of Brooklyn.","896576722",,,
"b100647212","917.4723 I35","In memory of the men and women of Brooklyn who died in the World War, 1914-1918... This monument unveiled in Prospect Park, Brooklyn, New York, on the twenty-sixth day of June ... 1921...","871243247",,,
"b100647972","970.1 M98","Indian notes and monographs :","907436679","20002329",,
"b100651884","725 I","Inventory of landmark building plans and drawings /","ocm28971348",,,
"b100656808","200 I613","Interfaith religiious directory of Greater New York :","907370679",,,
"b100659184","974.723 I","If stoops could speak :","ocm39230912",,,
"b100659342","607.3 B","Industrial show edition, April 7, 9-14. 1923 :","ocm32631277",,,
"b100667260","301.45196 I","An Introduction to the Black contribution to the development of Brooklyn /","791175182","77093702",,
"b100667272","071 B87 I","Index to the Brooklyn daily eagle.","896702404",,,
"b10066751x","779.997471 I","An Index to the microfiche edition of Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library.","841386736","81011679","0835702251 (set)",
"b100670672","974.7 I","If you're thinking of living in-- :","ocm40074019","98046272","0812929837 (pbk.) :",
"b100674380","296 B 872","Jubilee book of the Brooklyn Jewish Center :","ocm17692491","46018432",,
"b100676704","364.36 J","Juvenile delinquency in Brooklyn ;","906632193",,,
"b100677800","296.6 J59","Jewish education register and directory.","907406385","52013492",,
"b100680483","808.0681 J","Johnny Headstrong's trip to Coney Island /","ocm18239068","ca 17001338",,
"b100685286","974.723 J","Jews of Brooklyn /","ocm47705974","2001004502","1584650036 (cloth : alk. paper)",
"b100687088","974.721 J86","The journal of Long Island history.","840015312","67005462",,"0449-2722"
"b100690282","B ROBINSON J","Jackie Robinson :","ocm39605297","98038327","0765603179 (hc. : alk. paper) :",
"b100690397","796.357 ROBINSON J","The Jackie Robinson reader :","ocm35223128","96034800","0525940960",
"b100690610","305.8924 J","Jewish settlement and community in the modern western world /","ocm24092564","93205288","094563613X",
"b100694251","289.92 J","Jehovah's Witnesses in the divine purpose.","ocm01131755","59040392",,
"b100697525","929.5 K55","Kings County Genealogical Club collections.","907207915","05006251",,
"b100700421","917.471 K","Kings handbook of New York City :","ocm02178495","01014690",,
"b100704281","267 K71","The Knights of Columbus in the State of New York, 1891-1945 /","ocm18570613",,,
"b100708705","929.2 KRAMER K","The Kramers, the next generation.","ocm34542989",,"0964847809",
"b100712058","285 C99","Lafayette Avenue Church, its history and commemorative Services :","906596195",,,
"b100716842","B LIVINGSTONE L","The life and services of Dr. David Livingstone, an honorary member of the society /","ocm04368601",,,
"b100722179","367.062 L741","The Lincoln Club of Brooklyn, N.Y.","907542078",,,
"b100726008","940.5318 L","Le-dor ṿa-dor =","ocm46672975",,,
"b100730085","973.3 L","Letters from the prisons and prison-ships of the revolution /","ocm25719610","02004645",,
"b100734091","974.721 L","Long Island as America :","780254721","77004880","0804691711 :",
"b10073540x","974.721 L84","The Long Island forum : index. :","821216276",,,
"b100735502","917.472 B87 LB","Lain & Healy's Brooklyn and Long Island business directory.","871086205","30017022",,
"b100735575","974.72 L85 Q","The Long Island Historical Society quarterly.","ocm01586399","42020785",,
"b100736476","277.47 D455 L","Long Island's religious history /","780241700","64003500",,
"b100736622","917.472 L8482","Long Island.","871119509",,,
"b100736737","917.472 L848","Long Island society register.","871117505",,,
"b100738643","VIDEO 628.168 L","Lavender Lake","ocm43885043",,,
