001,010,020$a,022$a,245$a
"ocm35047604",,,,"The Ryder's Pond Site, Kings County, New York /"
"ocm02814644","\\$a06041943",,,"The fortune of the republic,"
"ocm60668978","\\$a2005015730","9780374272296 (hardcover : alk. paper);0374272298 (hardcover : alk. paper)",,"Sweet and low :"
"ocm61229821","\\$a2005052254","1565849604",,"Slavery and public history :"
"ocm60742074","\\$a2005017905","9780472114931 (cloth : alk. paper);047211493X (cloth : alk. paper)",,"Archives, documentation, and institutions of social memory :"
"ocm38131953",,,,"Membership directory, 1997 /"
"ocm29547252",,,,"The Brooklyn Children's Museum /"
"ocm38436182",,,,"Festival of the sun,"
"ocm05267863",,"091005004X",,"The management of small history museums /"
"ocm01336878","\\$a04036936",,,"Catalogue of the bric-a-brac,"
"ocm00856408",,,,"Dew-drops of the nineteenth century"
"ocn945088073",,,,"An address delivered before the literary societies of Newark College, Del., :"
"ocm36171069",,,,"Some of the ethical faults of modern knowledge :"
"ocm00893136","\\$a35005573",,,"Values."
"ocm35894168",,,,"A word to the afflicted :"
"ocm12796027",,,,"Windows of character :"
"ocm30447462",,,,"Life in death and death in life :"
"ocm03875212","\\$a10022675",,,"Life-power"
"ocm01560443",,,,"The conquest of fear,"
"ocm36318665",,,,"A man's value to society :"
"ocm22968479",,,,"The illustrated annual of phrenology and physiognomy, 1872 /"
"ocn977228342","\\$a10029941",,,"A review of the ""spiritual manifestations"" :"
"ocm17931702",,,,"A review of Rev. Charles Beecher's report concerning the spiritual manifestations :"
"ocm06615126",,,,"The conflict of ages :"
"ocm01932765",,,,"The conflict of ages ="
"ocm34306833",,,,"The Brooklyn Ethical Association :"
"ocm35993028",,,,"""Life the great elective"" :"
"ocm01724204","\\$a11014551",,,"The contagion of character"
"ocm36734754",,,,"Studies in American character :"
"ocm36318930",,,,"The investment of influence :"
"ocm03775811","\\$a12038356",,,"With my neighbors,"
"ocm16125694",,,,"Ships and havens /"
"ocm06613727",,,,"If I were you :"
"ocm04574455","\\$a04025691",,,"The daily pathway,"
"ocm35839926",,,,"Successful men of to-day :"
"ocm03775676","\\$a12038341",,,"Life on high levels:"
"ocm03228896","\\$a04033575",,,"Good manners for all occasions :"
"ocm00385359",,,,"Letters on the difficulties of religion."
"ocm04968286","\\$a30011309",,,"Common sense applied to religion"
"ocm36433002",,,,"Cultural bridges in religions /"
"ocm02970446",,,,"Aesthetics in worship /"
"ocm36093089",,,,"The spirit atom /"
"ocm19803654",,,,"The harmony of science and religion :"
"ocm36359894",,,,"The supreme ideals of religion :"
"ocm24198766",,,,"The prayer-meeting assistant."
"ocm20719401","\\$a01031633",,,"The song of life,"
"ocm36062699",,,,"The ether and the soul :"
"ocm22144016",,,,"Progressive, patriotic and philanthropic Hebrews of the New World :"
"ocm00595378","\\$a72084288","0517500477",,"The Hasidim."
"ocm38093531",,,,"50th year East Midwoods Jewish Center /"
"ocm36432900",,,,"Jew and Christian /"
"ocm36434055",,,,"If I were a Christian /"
"ocm38561036",,,,"1848-1948 a century service :"
"ocm38905078",,,,"80th anniversary, 1904-1984, Temple Emanu-El of Borough Park :"
"ocm13891793",,,,"Seventy-ninth anniversary weekend of Temple Emanu-El of Boro Park honoring Cantor and Mrs. David Kusevitsky :"
"on1037544280",,,,"Maḥzor le'rosh hashanah ="
"ocm05262490","\\$a11030438",,,"At Sinai"
"ocm14177822","\\$a28015517",,,"The reality of religion /"
"ocm35813549",,,,"After the critical cyclone -- what? :"
"ocm36024565",,,,"The Christian view of a time of change :"
"ocn950931080","\\$ae 14002153",,,"The religious and the secular culture :"
"ocm36061439",,,,"Trees and men /"
"ocm18809999",,,,"Is it right to be rich?"
"ocm32959096",,,,"Some aspects of the religious world to-day /"
"ocm36128105",,,,"A sermon on the proper sphere and influence of the pulpit :"
"ocm01016729",,,,"A sermon delivered before the Foreign Missionary Society of New-York and Brooklyn, on Sabbath evenings, November 3 and 10."
"ocm03472669","\\$a01029198",,,"The influence of Christ in modern life"
"ocm02938710","\\$a17005458",,,"Religion for to-day,"
"ocm04402258",,,,"Christianity"
"ocm10091453",,,,"Nineteen hundred and now /"
"ocm00941815",,,,"Christianity, its destined supremacy on the earth :"
"ocm00363174","\\$a05025392",,,"Christian belief interpreted by Christian experience"
"ocm03341808","\\$a05032826",,,"The universal elements of the Christian religion"
"ocm02573040","\\$a09010502",,,"Christ and the eastern soul"
"ocn237122016",,,,"The divine origin of Christianity indicated by its historical effects."
"ocm02567085","\\$a05028195",,,"The struggle for religious liberty in the fifteenth and sixteenth centuries"
"ocm02660186",,,,"The evolution of Christianity,"
"ocm36486801",,,,"Modern religious thought :"
"ocm36515847",,,,"Current religious thought :"
"ocm20579080",,,,"The two polities."
"ocm34977834","\\$a96196122",,,"How to become a Christian :"
"ocm23589553",,,,"How to become a Christian: :"
"ocm36598650",,,,"How to become a Christian :"
"ocm36411843",,,,"Liberty :"
"on1028851451",,,,"A brief concordance to the Holy Scriptures of the Old and New Testaments"
"ocm05047061",,,,"The Bible of to-day :"
"ocm36522137",,,,"The inspiration of the Bible :"
"ocm26045433",,,,"The plenary inspiration of the Old and New Testaments."
"ocm02714904","\\$a07039389",,,"A plain man's working view of Biblical inspiration,"
"ocm36239045",,,,"The divine energy, interposing for man, marvelous in effect :"
"ocm10929196",,,,"The antichrist of New England :"
"ocm36786572",,,,"The Bible :"
"ocm78351232",,,,"A review of Dr. M'Clelland on Biblical interpretation /"
"ocm36353410",,,,"The Bible as literature :"
"ocm24801033",,,,"The Bible, a book for mankind :"
"ocm36277463",,,,"The pearl of great price :"
"ocm29943293",,,,"Present lessons from distant days /"
"ocm11263815","\\$a15000116",,,"A voice from the pew :"
"ocm16853619",,,,"Theopneuston, or Select Scriptures considered."
"ocm36241889",,,,"The Bible and science :"
"ocm05392081","\\$a31013162",,,"The old Bible and the new science."
"ocm02517729",,,,"Must the Old Testament go?"
"ocm36024711",,,,"The miraculous element in the Egyptian plagues :"
"ocm00487519",,,,"Bible studies."
"ocm04726638",,,,"The book of Job :"
"ocm20406012",,,,"The history of a penitent :"
"ocm31536937",,,,"Le nouveau testament de notre seigneur Jésus Christ:"
"ocm03597349","\\$a14012520",,,"The distinctive ideas of Jesus"
"ocm10027743",,,,"The word of authority."
"ocm06853394","\\$a09021685",,,"The mind of Christ"
"ocm36277056",,,,"Baccalaureate sermon to the graduating class of Columbia College :"
"ocm04177425",,,,"The early church:"
"ocm11150843",,,,"The Epistle of Paul the apostle to the Romans,"
"ocm29555750",,,,"Gleams from Paul's prison, or, Studies for the daily life in the Epistle to the Philippians /"
"ocm19248962",,,,"Christian holiness :"
"ocm36160981",,,,"What is it to be a Christian :"
"ocm25516433",,,,"The broadmindedness of Orthodox Christianity :"
"ocm36030745",,,,"""As a fire"" /"
"ocm34660525",,,,"Shifting lights; or, Recent changes in theologic thought :"
"ocm35850672",,,,"The dignity and worth of man as a child of God :"
"ocm31457929",,,,"The kingdom which can not be moved :"
"ocm36044026","\\$a96226633",,,"The kingdom of Heaven, like unto leaven :"
"ocm36032457",,,,"""Deus lux est"" :"
"ocm36231603",,,,"Grieve not the Holy Spirit :"
"ocm04869170",,,,"Underneath are the everlasting arms /"
"ocm08716266",,,,"The angel of God's face."
"ocm36161378",,,,"Sons of God :"
"ocm06346202",,,,"A pastor's sketches :"
"ocm36092782",,,,"Love and law in religion :"
"ocm36131305",,,,"""The last chance"" :"
"ocm36239303",,,,"The aim of Christianity for those who accept it :"
"ocm19968642",,,,"In aid of faith /"
"ocm16078135",,,,"Faith essential to a complete education :"
"ocm04879296",,,,"Faith and character /"
"ocm30601265",,,,"Certain fundamentals of Christian faith."
"ocm35899459",,,,"Souls can be reached and brought to Christ to-day, as they were in the beginning /"
"ocm36160285",,,,"Grace abounding in the forgiveness of sins :"
"ocm03759660",,,,"History of opinions on the scriptural doctrine of retribution /"
"ocm03512217","\\$a40037161",,,"The valley of the shadow."
"ocm01016715",,,,"The reign of the saints."
"ocm06454810","\\$a35031638",,,"The millennium of the Apocalypse."
"ocm35854102",,,,"The heaven-life, or, Stimulus for two worlds /"
"ocm36093210",,,,"Electricity and the Resurrection, or, The soul and science /"
"ocm35798743",,,,"Concerning the life beyond."
"ocm01033339","\\$a03008668",,,"The other room"
"ocm03561788",,,,"The dictum of reason on man's immortality:"
"ocm03758819","\\$a05024219",,,"The redeemed life after death"
"ocm00941903",,,,"Foretokens of immortality"
"ocm21387276","\\$a12034080",,,"Foretokens of immortality :"
"ocm00371081","\\$a01031638",,,"The evolution of immortality,"
"ocm20368741",,,,"The problem of human immortality."
"ocm06272849","\\$a03007790",,,"When angels come to men,"
"ocm27223466",,,,"Hobart's Analysis of Bishop Butler's Analogy of religion, natural and revealed, to the constitution and course of nature, with notes."
"ocm02663306","\\$a31008488",,,"Many infallible proofs :"
"ocm10309672",,,,"The future of Christianity :"
"ocm01429196","\\$a04002024",,,"The Bible in harmony with nature."
"ocm21617669",,,,"A plea for the Christian year :"
"ocm02396664","\\$a40006829",,,"So many pathways,"
"ocm35904429",,,,"The victory of Christmas /"
"ocm32959213",,,,"A merry Christmas /"
"ocm33126409",,,,"Celebration of the re-setting of the New Utrecht Liberty Pole on the lawn of the New Utrecht Reformed Church :"
"ocm01085435",,,,"Bible readings for the responsive service in Christian worship."
"ocm11803533",,,,"The Young singer's friend, or, the Lee Avenue collection of hymns and songs, sacred and secular :"
"ocm35905731",,,,"The singular death of Christ /"
"ocm00374953","\\$a20008488",,,"Does God send trouble?"
"ocm01346155","\\$a38008152",,,"The Gospel of the divine sacrifice :"
"ocm34723676",,,,"Plymouth collection of hymns and tunes :"
"ocm03527882","\\$a38007108",,,"Eternal atonement /"
"ocm11605494",,,,"Plymouth collection of hymns and tunes :"
"ocm04677135","\\$a99001629",,,"The gospel for a world of sin /"
"ocm20911777",,,,"Plymouth collection of hymns and tunes :"
"ocm35905449",,,,"The Gospel history :"
"ocm35058047",,,,"Plymouth collection of hymns and tunes :"
"ocm32584749",,,,"Plymouth collection of hymns and tunes :"
"ocm35010686",,,,"Plymouth collection of hymns and tunes :"
"ocm31244311",,,,"The oriental world :"
"ocm36242012",,,,"Plymouth collection of hymns and tunes :"
"ocm05823946",,,,"Footsteps of the master /"
"ocm36027148",,,,"Plymouth collection of hymns and tunes :"
"ocm00424834",,,,"The Plymouth hymnal :"
"ocm13507827","\\$a16022290",,,"The mystery of Jesus /"
"ocm11434774",,,,"The Plymouth hymnal :"
"ocn787446204","\\$a33036670",,,"The life of Christ :"
"ocm38761093",,,,"Our Sunday school hymnody /"
"ocm00559835","\\$a45034002",,,"The temple of God"
"ocm36238829",,,,"The study of the Gospels :"
"ocm36025894",,,,"A baccalaureate sermon to the class of 1886 in Packer Collegiate Institute :"
"ocm38893871",,,,"The central city church."
"ocm06203650","\\$a02009993",,,"The master of the science of right living /"
"ocm38970180",,,,"A theological statement."
"ocm35905060",,,,"A practical view of the church /"
"ocm01315845","\\$a96198840",,,"The self-propagating power of Christianity :"
"ocm16906183",,,,"The growing church :"
"ocm38921876",,,,"Studies in the Sermon on the Mount /"
"ocm16784045",,,,"Letter-missive, statement, and documents."
"ocm22284575",,,,"Spina Christi :"
"ocm34162068",,,,"The Brooklyn Council /"
"ocm02419405",,,,"Christian science and other superstitions :"
"ocm05538271",,,,"The golden anniversary book of the Lutheran Church of the Good Shepherd,"
"ocm14263135",,,,"The bottom plank of mental healing /"
"ocm00894756",,,,"Qualifications for ministerial power."
"ocm21955214",,,,"(The) Call to the ministry."
"ocm06629640",,,,"Character in the preacher :"
"ocm11767055","\\$a15024962",,,"The march of Christ down the centuries /"
"ocm02992419","\\$a07023083",,,"Practical Christian sociology"
"ocm38584770",,,,"Archbishop McEntegart's golden jubilee :"
"ocm00941599","\\$a05000929",,,"Burdens to be cast upon the Lord :"
"ocm36285122",,,,"The rejected offering :"
"ocm36268537",,,,"An address delivered before the Society of Old Brooklynites in the city of Brooklyn, N.Y., Dec. 3, 1891 :"
"ocm36268285",,,,"An address delivered by the Rev. C.C. Leigh (a local preacher of the M.E. Church for sixty years) before the Thirty-seventh Annual Meeting of the National Association of Local Preachers, in the Simpson Methodist Episcopal Church in the city of Brooklyn, N.Y., Oct. 6, 1894."
"ocm11642636",,,,"Speech of Henry C. Murphy in Senate, March 19, 1862 upon the bill to repeal the statute in relation to ecclesiastical tenures."
"ocm36173351",,,,"A sermon on the qualifications of confirmation /"
"ocm12180664",,,,"The pastor's address to a candidate for confirmation :"
"ocm36409281",,,,"The church and the Communion service /"
"ocm38760682",,,,"The constitution and address on the formation of an education society, for the Reformed Dutch Church, on Long-Island."
"ocm34708248",,,,"Brooklyn men and their doings :"
"ocm07381329","\\$a52011534",,,"History of the Brooklyn and Queens Young Men's Christian Association, 1853-1949."
"ocm36734619",,,,"Hints from history as to the meaning of Christian education :"
"ocm00225689","\\$a09029948",,,"Lectures to young men,"
"ocm34456159",,,,"Lectures to young men :"
"ocm11037392",,,,"Lectures to young men :"
"ocm27437918",,,,"Lectures to young men, on various important subjects,"
"ocn774140352","\\$a13011925",,,"Lectures to young men on various important subjects /"
"ocm34820895",,,,"Twelve lectures to young men :"
"ocm34417428",,,,"Twelve lectures to young men :"
"ocm06792180",,,,"Lectures to young men,"
"ocm01361200",,,,"Addresses to young men /"
"ocm26368812",,,,"Henry Ward Beecher on labor :"
"ocm10432780","\\$a96228652",,,"The children of the kingdom :"
"ocm35957762",,,,"The baccalaureate sermon preached to the graduating class of the Packer Collegiate Institute, June 10, 1888 /"
"ocm35956878",,,,"Baccalaureate sermon :"
"ocm04155771","\\$a02004360",,,"Addresses on foreign missions delivered before the American board of commissioners for foreign missions,"
"ocm38501466",,,,"The effect on the churches of supporting foreign missions :"
"ocm05730558",,,,"The century of preparation :"
"ocm29933673","\\$a96183643",,,"Christianity's mission for the nation :"
"ocm01016744",,,,"The final triumph of Christianity :"
"ocm00944322",,,,"Personal piety as related to the missionary work :"
"ocm03100113","\\$a10023621",,,"Gamblers and gambling,"
"ocm12817178",,,,"Growth of the kingdom of God :"
"ocm17205854",,,,"Fruit of the spirit."
"ocm36925407",,,,"Full report of the proceedings of the 86th Annual Meeting of the American Board :"
"ocm13177765","\\$a96202529",,,"Motives to missionary work :"
"ocm28449786",,,,"Industry and idleness /"
"ocm36285028",,,,"Sermon preached at the Reformed Church on the Heights, Brooklyn, N.Y., Sunday, October 6th, 1907 /"
"ocm35957499",,,,"Realistic Christianity /"
"ocm36277351",,,,"Grandeur of the great commission :"
"ocm02794195","\\$a06020303",,,"The Mosaic law in modern life"
"ocm38501477",,,,"City evangelization :"
"ocm03476618","\\$a07016359",,,"Gipsy Smith's best sermons :"
"ocm05929844",,,,"Morning and evening exercises :"
"ocm10678158","\\$a09031979",,,"The Christian pastor in the new age, comrade--sponsor--social mediator :"
"ocm01483157","\\$a32033631",,,"How to be a pastor /"
"ocm10831171","\\$a99000255",,,"365 stray leaves from Under the Catalpa /"
"ocm03058430","\\$a45047944",,,"Spiritual experience and theological science: a reconciliation :"
"ocm36025132",,,,"A message for every day in the year :"
"ocm35996009",,,,"The teaching of theology /"
"ocm21955152",,,,"""His peace"" /"
"ocm01033085","\\$a13009990",,,"Yale lectures on preaching /"
"ocm36092910",,,,"Coming to the King :"
"ocm03761975","\\$a32033642",,,"Yale lectures on preaching /"
"ocm20129340",,,,"Comforting thoughts spoken by Henry Ward Beecher in sermons, addresses, and prayers /"
"ocm34975511",,,,"Yale lectures on preaching."
"ocm00276657",,,,"Comforting thoughts spoken by Henry Ward Beecher in sermons, addresses, and prayers."
"ocm34725896",,,,"Comforting thoughts :"
"ocm30397416",,,,"Yale lectures on preaching /"
"ocm34729662",,,,"Comforting thoughts :"
"ocm34729656",,,,"Comforting thoughts :"
"ocm34725751",,,,"Comforting thoughts :"
"ocm04335823","\\$a02021887",,,"Help and good cheer,"
"ocm36030290",,,,"The early called :"
"ocm04511648","\\$a04010405",,,"Yale lectures on preaching :"
"ocm04336352","\\$a41041807",,,"God and little children:"
"ocm03164577","\\$a05037779",,,"Sermon briefs /"
"ocm01629245","\\$a20019175",,,"Ambassadors of God,"
"ocm31314240",,,,"God's light on dark clouds /"
"ocm04415505",,,,"Christianity demonstrated by experience :"
"ocm04080859","\\$a02016085",,,"Preaching in the new age :"
"ocm36165601",,,,"Beginning at Jerusalem :"
"ocm11159858","\\$a84145474",,,"The Tablet :"
"ocm03012257","\\$a04004179",,,"The gospel for an age of doubt :"
"ocm36531175",,,,"Pope Leo XIII :"
"ocm31723035",,,,"Reminiscences of St. Augustine's Parish and it pastor /"
"ocn977676717",,,,"The philosophy of preaching /"
"ocm38491161",,,,"St. Francis Xavier of the Indies Parish, Brooklyn, New York, 100th anniversary 1886-1986."
"ocm02908736",,,,"The eloquence of the pulpit, with illustrations from St. Paul :"
"ocm07494486",,,,"Christian doctrine :"
"ocm03144653",,,,"Discourses on various occasions /"
"ocm30569461",,,,"The sermon preached at the ordination held at St. Paul's Church, Chilicothe, on Sunday, September 12, 1841 /"
"ocm04680838",,,,"Occasional sermons and lectures /"
"ocm34936676",,,,"A sermon preached by Dean G.P.T. Sargent :"
"ocm02762859",,,,"Evangelism, Catholicism, Romanism, and Protestantism :"
"ocm06095628",,,,"The great conflict, Christ and antichrist, the church and the apostasy :"
"ocm00564538",,,,"Notes on the Irish-Canadian pilgrimage and addresses"
"ocm35995831",,,,"The ideal minister /"
"ocm38490589",,,,"The Daughters of Dominic on Long Island :"
"ocm01016008",,,,"The duty of the present generation of Christians to evangelize the world :"
"ocm03587968","\\$a63023383",,,"By railway or rainbow"
"ocm36131128",,,,"Hints to self-educated ministers :"
"ocm38927919",,,,"The Most Holy Trinity Parish in the diocese of Brooklyn, N.Y., 1841-1916 :"
"ocm19228172",,,,"Our Lady of Perpetual Help, Brooklyn, N.Y."
"ocm36060650",,,,"Sermon stuff /"
"ocm15516692",,,,"Sermon stuff :"
"ocm38969829",,,,"The consecration of Church of the Redeemer, Fourth Avenue and Pacific Street, ... ascension-day, May 14, 1896."
"ocm36277208",,,,"The preacher's cabinet :"
"ocm38292849",,,,"Centennial book :"
"ocm04382192","\\$a38019296",,,"Conditions of success in preaching without notes :"
"ocm25004070","\\$a94122423",,,"The Church of St. Francis Xavier :"
"ocm12641292",,,,"Farewell discourse: :"
"ocm35009482",,,,"1886-1976 anniversary celebration :"
"ocm06527002",,,,"Open-air preaching :"
"ocm20181488",,,,"St. James Cathedral, 1822-1972, Brooklyn, New York."
"ocm06297288",,,,"The call to work :"
"ocm25649424",,,,"Diamond jubilee of St. Joseph's Church, Brooklyn, N.Y., 1853-1928 /"
"ocm38531987",,,,"The story of St. Agnes Church, Brooklyn, New York :"
"ocm38571780",,,,"100th anniversary, 1885-1985"
"ocm03296701",,,,"Brooklyn Protestantism, 1930-1945 :"
"ocm06063603",,,,"A sermon preached at the dedication of the Clinton Avenue Congregation Church :"
"ocm03752008",,,,"The leisure of God :"
"ocm34433527",,,,"Show thyself a man :"
"ocm35818090",,,,"The test of Christian faith."
"ocm20877136",,,,"The King in His beauty, and other studies in Scripture."
"ocm33332591",,,,"This city under God /"
"ocm38122549",,,,"This city under God :"
"ocm27249757",,,,"The past required, a New Year's sermon :"
"ocm36285263",,,,"Religion's non-essentials text :"
"ocm35815596",,,,"A New-Year's address :"
"ocm38873216",,,,"Memories and forecasts :"
"ocm30537395",,,,"Five sermons to young persons :"
"ocm36032210",,,,"An address delivered in St. John's Church, Washington, D.C. at the commencement of St. John's Hall :"
"ocm11908829",,,,"Chats with children of the church /"
"ocm03456393","\\$a08029743",,,"A junior congregation, 1884-1908 /"
"ocm08097825",,,,"Little talks to little people /"
